0.0001	0.0001	0.0001	0.0001	5	2
0.0001	0.0001	0.0001	1	5	2
0.0001	0.0001	0.0001	10000	5	2
0.0001	0.0001	1	0.0001	5	2
0.0001	0.0001	1	1	5	2
0.0001	0.0001	1	10000	5	2
0.0001	0.0001	1000	0.0001	5	2
0.0001	0.0001	1000	1	5	2
0.0001	0.0001	1000	10000	5	2
0.0001	1	0.0001	0.0001	5	2
0.0001	1	0.0001	1	5	2
0.0001	1	0.0001	10000	5	2
0.0001	1	1	0.0001	5	2
0.0001	1	1	1	5	2
0.0001	1	1	10000	5	2
0.0001	1	1000	0.0001	5	2
0.0001	1	1000	1	5	2
0.0001	1	1000	10000	5	2
0.0001	10000	0.0001	0.0001	5	2
0.0001	10000	0.0001	1	5	2
0.0001	10000	0.0001	10000	5	2
0.0001	10000	1	0.0001	5	2
0.0001	10000	1	1	5	2
0.0001	10000	1	10000	5	2
0.0001	10000	1000	0.0001	5	2
0.0001	10000	1000	1	5	2
0.0001	10000	1000	10000	5	2
1	0.0001	0.0001	0.0001	5	2
1	0.0001	0.0001	1	5	2
1	0.0001	0.0001	10000	5	2
1	0.0001	1	0.0001	5	2
1	0.0001	1	1	5	2
1	0.0001	1	10000	5	2
1	0.0001	1000	0.0001	5	2
1	0.0001	1000	1	5	2
1	0.0001	1000	10000	5	2
1	1	0.0001	0.0001	5	2
1	1	0.0001	1	5	2
1	1	0.0001	10000	5	2
1	1	1	0.0001	5	2
1	1	1	1	5	2
1	1	1	10000	5	2
1	1	1000	0.0001	5	2
1	1	1000	1	5	2
1	1	1000	10000	5	2
1	10000	0.0001	0.0001	5	2
1	10000	0.0001	1	5	2
1	10000	0.0001	10000	5	2
1	10000	1	0.0001	5	2
1	10000	1	1	5	2
1	10000	1	10000	5	2
1	10000	1000	0.0001	5	2
1	10000	1000	1	5	2
1	10000	1000	10000	5	2
10000	0.0001	0.0001	0.0001	5	2
10000	0.0001	0.0001	1	5	2
10000	0.0001	0.0001	10000	5	2
10000	0.0001	1	0.0001	5	2
10000	0.0001	1	1	5	2
10000	0.0001	1	10000	5	2
10000	0.0001	1000	0.0001	5	2
10000	0.0001	1000	1	5	2
10000	0.0001	1000	10000	5	2
10000	1	0.0001	0.0001	5	2
10000	1	0.0001	1	5	2
10000	1	0.0001	10000	5	2
10000	1	1	0.0001	5	2
10000	1	1	1	5	2
10000	1	1	10000	5	2
10000	1	1000	0.0001	5	2
10000	1	1000	1	5	2
10000	1	1000	10000	5	2
10000	10000	0.0001	0.0001	5	2
10000	10000	0.0001	1	5	2
10000	10000	0.0001	10000	5	2
10000	10000	1	0.0001	5	2
10000	10000	1	1	5	2
10000	10000	1	10000	5	2
10000	10000	1000	0.0001	5	2
10000	10000	1000	1	5	2
10000	10000	1000	10000	5	2
